orderNumber,customerNumber,customer,company,custCountry,productCode,productName,category,orderQuantity,orderDate,totalSales,totalProfit,salesRep,salesCountry
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S10_4757,1972 Alfa Romeo GTA,Classic Cars,64,2005-04-01,8616.96,3133.44,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S18_1662,1980s Black Hawk Helicopter,Planes,34,2005-04-01,4396.54,1769.36,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S18_3029,1999 Yamaha Speed Boat,Ships,30,2005-04-01,2245.20,696.90,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,58,2005-04-01,5157.94,1412.30,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S24_2841,1900s Vintage Bi-Plane,Planes,24,2005-04-01,1331.76,509.76,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S24_3420,1937 Horch 930V Limousine,Vintage Cars,38,2005-04-01,2248.84,1249.44,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,42,2005-04-01,3134.88,1092.00,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S700_2047,HMS Bounty,Ships,46,2005-04-01,3789.02,1956.84,Leslie Jennings,USA
10400,450,Sue Frick,The Sharp Gifts Warehouse,USA,S72_1253,Boeing X-32A JSF,Planes,20,2005-04-01,834.20,178.80,Leslie Jennings,USA
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_3891,1969 Ford Falcon,Classic Cars,33,2005-03-23,5138.76,2398.11,Leslie Jennings,USA
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3140,1903 Ford Model A,Vintage Cars,33,2005-03-23,4282.08,2028.18,Leslie Jennings,USA
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3259,Collectable Wooden Train,Trains,24,2005-03-23,2202.24,580.80,Leslie Jennings,USA
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_4522,1904 Buick Runabout,Vintage Cars,45,2005-03-23,3752.10,1382.40,Leslie Jennings,USA
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2011,18th century schooner,Ships,49,2005-03-23,4937.73,903.07,Leslie Jennings,USA
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,27,2005-03-23,2079.00,812.43,Leslie Jennings,USA
